lat,lon,alt,elapsed time,time,trajectory,label,user,segment
39.974294,116.399741,492.0,39816.0566435185,2009-01-03 01:21:34,20090103012134.plt,0,135,1
39.974292,116.399592,492.0,39816.0566550926,2009-01-03 01:21:35,20090103012134.plt,0,135,1
39.974309,116.399523,492.0,39816.0566666667,2009-01-03 01:21:36,20090103012134.plt,0,135,1
39.97432,116.399588,492.0,39816.0566898148,2009-01-03 01:21:38,20090103012134.plt,0,135,1
39.974365,116.39973,491.0,39816.0567013889,2009-01-03 01:21:39,20090103012134.plt,0,135,1
39.974391,116.399782,491.0,39816.0567361111,2009-01-03 01:21:42,20090103012134.plt,0,135,1
39.974426,116.399735,491.0,39816.0567824074,2009-01-03 01:21:46,20090103012134.plt,0,135,1
39.974458,116.3997,491.0,39816.0568402778,2009-01-03 01:21:51,20090103012134.plt,0,135,1
39.974491,116.399732,490.0,39816.0568981481,2009-01-03 01:21:56,20090103012134.plt,0,135,1
39.97453,116.399758,489.0,39816.0569560185,2009-01-03 01:22:01,20090103012134.plt,0,135,1
39.974577,116.399745,490.0,39816.0569907407,2009-01-03 01:22:04,20090103012134.plt,0,135,1
39.974623,116.399731,491.0,39816.057025463,2009-01-03 01:22:07,20090103012134.plt,0,135,1
39.974666,116.399713,491.0,39816.0570601852,2009-01-03 01:22:10,20090103012134.plt,0,135,1
39.9747,116.399755,491.0,39816.0570949074,2009-01-03 01:22:13,20090103012134.plt,0,135,1
39.974732,116.399838,491.0,39816.0571412037,2009-01-03 01:22:17,20090103012134.plt,0,135,1
39.97473,116.399909,491.0,39816.0571527778,2009-01-03 01:22:18,20090103012134.plt,0,135,1
39.974728,116.399982,491.0,39816.0571643518,2009-01-03 01:22:19,20090103012134.plt,0,135,1
39.974731,116.400052,491.0,39816.0571875,2009-01-03 01:22:21,20090103012134.plt,0,135,1
39.97473,116.400143,491.0,39816.0571990741,2009-01-03 01:22:22,20090103012134.plt,0,135,1
39.974737,116.400205,491.0,39816.0572222222,2009-01-03 01:22:24,20090103012134.plt,0,135,1
39.974742,116.400264,491.0,39816.0572453704,2009-01-03 01:22:26,20090103012134.plt,0,135,1
39.974747,116.400332,492.0,39816.0572800926,2009-01-03 01:22:29,20090103012134.plt,0,135,1
39.974616,116.398937,335.0,39816.057337963,2009-01-03 01:22:34,20090103012134.plt,0,135,1
39.974632,116.399029,334.0,39816.057349537,2009-01-03 01:22:35,20090103012134.plt,0,135,1
39.974632,116.399029,334.0,39816.0573842593,2009-01-03 01:22:38,20090103012134.plt,0,135,1
39.974635,116.399025,322.0,39816.0574074074,2009-01-03 01:22:40,20090103012134.plt,0,135,1
39.974596,116.399077,315.0,39816.0574537037,2009-01-03 01:22:44,20090103012134.plt,0,135,1
39.974551,116.399123,309.0,39816.0574884259,2009-01-03 01:22:47,20090103012134.plt,0,135,1
39.974503,116.399165,302.0,39816.0575231481,2009-01-03 01:22:50,20090103012134.plt,0,135,1
39.974478,116.399217,297.0,39816.0575578704,2009-01-03 01:22:53,20090103012134.plt,0,135,1
39.974476,116.399282,294.0,39816.0576041667,2009-01-03 01:22:57,20090103012134.plt,0,135,1
39.974497,116.399358,288.0,39816.0576273148,2009-01-03 01:22:59,20090103012134.plt,0,135,1
39.974533,116.399454,282.0,39816.0576388889,2009-01-03 01:23:00,20090103012134.plt,0,135,1
39.974562,116.399531,277.0,39816.057650463,2009-01-03 01:23:01,20090103012134.plt,0,135,1
39.974584,116.399586,272.0,39816.0576736111,2009-01-03 01:23:03,20090103012134.plt,0,135,1
39.974617,116.399645,269.0,39816.0576967593,2009-01-03 01:23:05,20090103012134.plt,0,135,1
